,Unnamed: 0,source_1,source_2,lon_1,lat_1,lon_2,lat_2,h_1,sigma_h1,h_2,sigma_h2,dh,sigma_dh,time_1,time_2,dt,dh_dx_1,dh_dx_2,dh_dy_1,dh_dy_2,distance_x,distance_y,window_1,window_2,rgt,spot_n,h1_arcticdem,h2_arcticdem,dh_arcticdem,distance,dem_slope,dh_minus_dem
35080,35080,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1183648,69.56480668,-151.118278,69.56480289,88.65615082,0.072336279,88.74433899,0.11736121,0.088188171,0.137862943,2019.468732,2019.717552,0.248820112,-0.045214683,-0.049760342,-0.010812585,-0.012270221,-0.473311784,-3.374620157,3,3,1280,3,88.12779626,87.95275033,-0.17504593,3.407650987,-0.051368503,0.263234101
35081,35081,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1184908,69.56445059,-151.118405,69.56444683,86.69689941,0.050388876,86.83403778,0.036180172,0.137138367,0.062032602,2019.468732,2019.717552,0.248820112,-0.024035931,-0.014968991,-0.021736002,-0.022655126,-0.469786788,-3.335978312,3,3,1280,3,86.38913223,86.31467715,-0.074455077,3.368894615,-0.022100744,0.211593444
35082,35082,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1185526,69.56427251,-151.1184677,69.56426879,86.11959076,0.063158639,86.28793335,0.105267957,0.16834259,0.12276138,2019.468732,2019.717552,0.248820112,-0.036745429,-0.036783338,-0.01829279,-0.019383403,-0.464817204,-3.301062951,3,3,1280,3,85.34788283,85.31003074,-0.037852093,3.3336274,-0.011354626,0.206194683
35083,35083,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1261449,69.54272721,-151.1260633,69.54272363,72.7111969,0.00611867,72.7401123,0.041192159,0.028915405,0.041644112,2019.468732,2019.717552,0.248820112,0.001338819,-0.001252741,-0.000676196,0.000733171,-0.447448353,-3.179426276,3,3,1280,3,72.19927375,72.14368703,-0.055586718,3.21075715,-0.017312651,0.084502123
35084,35084,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1262069,69.54254911,-151.1261252,69.54254554,72.72349548,0.005005979,72.70755005,0.023424814,-0.015945435,0.023953741,2019.468732,2019.717552,0.248820112,6.80E-05,0.000692725,-0.00060118,0.000486746,-0.447395309,-3.181521518,3,3,1280,3,72.38051157,72.32840311,-0.052108452,3.212824572,-0.016218891,0.036163017
35085,35085,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1262689,69.54237106,-151.1261866,69.54236746,72.74423218,0.006927104,72.697052,0.023193114,-0.047180176,0.024205481,2019.468732,2019.717552,0.248820112,7.64E-06,0.000226855,-0.000271143,0.000221937,-0.450455521,-3.20506658,3,3,1280,3,72.16318321,72.20208235,0.038899142,3.236566384,0.012018645,-0.086079318
35086,35086,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.126331,69.54219294,-151.1262478,69.5421893,72.75213623,0.009396885,72.71767426,0.028344575,-0.034461975,0.029861621,2019.468732,2019.717552,0.248820112,-0.001057863,0.000329986,-0.000469508,0.000530994,-0.455425565,-3.239501474,3,3,1280,3,72.04980424,72.02501071,-0.024793527,3.27135786,-0.007578971,-0.009668448
35087,35087,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1263932,69.54201485,-151.126309,69.54201118,72.75968933,0.0135401,72.78118134,0.046325754,0.021492004,0.04826396,2019.468732,2019.717552,0.248820112,-0.00044734,0.003719568,-0.000106447,0.001307106,-0.459818543,-3.276939076,3,3,1280,3,72.2816062,72.20636992,-0.075236287,3.309042581,-0.022736573,0.096728291
35088,35088,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1264553,69.54183677,-151.1263703,69.54183306,72.76316833,0.012742423,72.74954987,0.095704645,-0.013618469,0.096549202,2019.468732,2019.717552,0.248820112,-0.000903979,0.002320051,-0.000318053,0.001092608,-0.463348212,-3.311455818,3,3,1280,3,72.00182745,72.05948849,0.057661041,3.343715179,0.017244603,-0.07127951
35089,35089,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1265174,69.54165872,-151.1264316,69.54165497,72.75691986,0.014244535,72.7194519,0.068871059,-0.037467957,0.070328724,2019.468732,2019.717552,0.248820112,-0.001826815,0.001151204,-0.000431428,0.000651939,-0.468658891,-3.340059244,3,3,1280,3,72.2233086,72.14268599,-0.080622616,3.372778811,-0.023903914,0.043154659
35090,35090,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1265793,69.54148059,-151.1264933,69.54147682,72.76006317,0.020159118,72.66911316,0.054046299,-0.090950012,0.057683555,2019.468732,2019.717552,0.248820112,0.000105098,-0.002539486,-0.000281256,0.000112635,-0.470612482,-3.349435595,3,3,1280,3,72.27565777,72.28882734,0.013169569,3.382335719,0.003893632,-0.104119581
35091,35091,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1266409,69.54130248,-151.1265553,69.54129873,72.75852203,0.012066392,72.66529846,0.067131713,-0.093223572,0.068207512,2019.468732,2019.717552,0.248820112,-0.000803441,-0.007111371,-0.000334213,-0.000179913,-0.468577312,-3.336289357,3,3,1280,3,72.41302797,72.41189387,-0.001134094,3.36903419,-0.000336623,-0.092089478
35092,35092,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1267027,69.54112438,-151.1266177,69.54112066,72.76335907,0.013813948,72.68518829,0.068078555,-0.078170776,0.069465926,2019.468732,2019.717552,0.248820112,-0.000475325,-0.000374794,2.06E-05,5.50E-05,-0.465205441,-3.311898529,3,3,1280,3,72.27757596,72.27020487,-0.007371096,3.344411453,-0.002204004,-0.07079968
35093,35093,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1267647,69.54094629,-151.1266805,69.5409426,72.77198029,0.015840998,72.73959351,0.069018416,-0.03238678,0.070812986,2019.468732,2019.717552,0.248820112,0.000185959,-0.001117349,7.82E-06,0.000581824,-0.46093041,-3.278528971,3,3,1280,3,72.23702594,72.22986263,-0.00716331,3.310771671,-0.002163638,-0.02522347
35094,35094,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1268269,69.54076824,-151.1267437,69.5407646,72.7808075,0.017903589,72.70600891,0.088069305,-0.074798584,0.08987069,2019.468732,2019.717552,0.248820112,-0.00212124,-0.005769253,0.000176356,0.00046071,-0.455041237,-3.241295804,3,3,1280,3,72.16449313,72.14357215,-0.020920986,3.273081273,-0.006391832,-0.053877598
35095,35095,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1269525,69.54041209,-151.1268712,69.54040853,72.75992584,0.026675731,72.68239594,0.106168099,-0.077529907,0.109468077,2019.468732,2019.717552,0.248820112,-0.003468066,0.001970708,0.000107643,0.000472515,-0.445462973,-3.164611518,3,3,1280,3,72.33374168,72.3322743,-0.001467376,3.195810276,-0.000459156,-0.076062531
35096,35096,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1349693,69.51762008,-151.1348977,69.51761694,78.14849091,0.005702202,78.08834839,0.036866285,-0.060142517,0.037304665,2019.468732,2019.717552,0.248820112,-0.002140966,-0.002009451,-0.000378454,3.40E+38,-0.392944855,-2.793160788,3,3,1280,3,77.42234654,77.46129324,0.038946708,2.82066532,0.013807632,-0.099089225
35097,35097,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.135031,69.51744197,-151.1349599,69.51743886,78.14763641,0.005927613,77.98370361,0.055963047,-0.1639328,0.056276098,2019.468732,2019.717552,0.248820112,5.01E-05,-0.009112835,-0.000438872,-0.000853455,-0.389948949,-2.770731134,3,3,1280,3,77.5568537,77.5418377,-0.015015994,2.798037026,-0.005366617,-0.148916806
35098,35098,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1357926,69.51530567,-151.1357124,69.51530216,78.19286346,0.0107287,78.06929779,0.146233797,-0.123565674,0.146626834,2019.468732,2019.717552,0.248820112,-0.00062032,0.007691681,6.82E-05,-0.000253316,-0.439888362,-3.127668341,3,3,1280,3,77.60056079,77.59718273,-0.003378065,3.158450731,-0.001069532,-0.120187609
35099,35099,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.1358569,69.51512768,-151.1357757,69.51512413,78.17903137,0.008199508,78.02983093,0.072261497,-0.149200439,0.072725208,2019.468732,2019.717552,0.248820112,0.00045253,0.004460752,-0.000159138,-0.00050801,-0.445099019,-3.164941796,3,3,1280,3,77.53422434,77.52428066,-0.009943678,3.196086624,-0.003111204,-0.139256761
