lon,lat,dh,sigma_dh,h1_interp,h2_interp,time_1,time_2,dt(decimal year),dt (days),sigma_h1,sigma_h2,dh_dx_1,dh_dx_2,n_photons_1,n_photons_2
-149.0825349,69.20566725,0.318104921,0.06882352,349.8431292,350.1612342,2018.789166,2018.858971,0.069805663,25.47906684,0.068805573,0.001571655,-0.026285795,0.020498254,14,349.5
-149.1649213,69.44114311,-0.228252234,0.021533002,178.6506943,178.422442,2018.789166,2018.858971,0.069805418,25.47897751,0.021437266,0.002028251,-0.012979356,-0.029455325,77.5,108
-149.1659279,69.44398414,0.016178942,0.009128765,168.7274515,168.7436305,2018.789166,2018.858971,0.069805426,25.47898047,0.005327371,0.007413061,-0.000174336,0.001365342,68,478.5
-149.1756608,69.47153454,0.439682264,0.022350454,179.7018323,180.1415146,2018.789166,2019.028498,0.239332649,87.35641705,0.004902724,0.021806102,-0.01932011,0.019548746,83,13.5
-148.9381292,68.78224019,0.054953989,0.058751611,536.4263022,536.4812562,2018.789165,2019.187084,0.397918289,145.2401754,0.051099976,0.028992141,-0.0138209,0.014566826,52,22
-148.9774697,68.89896855,0.490004258,0.05193331,564.0727146,564.5627188,2018.789165,2019.187084,0.397918162,145.240129,0.045255333,0.02547594,0.022306744,0.0123718,15.5,133.5
-149.1683547,69.4508638,0.011234777,0.006989315,190.8978091,190.9090439,2018.789166,2019.356611,0.567445067,207.1174493,0.006965759,0.00057335,-0.002046072,-0.009594472,82.5,16
-149.169017,69.45274953,0.208543741,0.018380527,189.9434441,190.1519878,2018.789166,2019.526138,0.736972133,268.9948286,0.018107885,0.003154086,-0.011388503,0.011315887,64.5,67
-149.1701695,69.4560034,0.077915859,0.035361922,187.446829,187.5247449,2018.789166,2019.526138,0.736972141,268.9948314,0.014883912,0.032077011,-0.006944955,0.0033425,65.5,15.5
-149.083898,69.20958704,0.278014535,0.045612927,342.5540496,342.8320642,2018.789166,2019.854251,1.065085321,388.7561423,0.04498313,0.007553619,0.00219096,0.024659314,16,111
-149.0850112,69.21275441,0.082174264,0.03606714,335.3193739,335.4015482,2018.789166,2019.854251,1.065085329,388.7561451,0.035289717,0.007448118,-0.033484581,0.03381343,20.5,463
-149.1682974,69.45069993,-0.089033844,0.00590514,190.9600343,190.8710004,2018.789166,2019.854251,1.065085093,388.7560589,0.005720328,0.001465782,-0.004808538,0.001168145,77.5,452.5
-148.8656611,68.56484212,0.455381436,0.010548677,802.3787591,802.8341406,2018.789165,2020.012801,1.223635447,446.6269381,0.008165995,0.006677657,-0.035832235,0.02752318,71,430
-148.9049506,68.68308977,0.329592063,0.014261564,578.7013629,579.030955,2018.789165,2020.012801,1.223635318,446.6268912,0.008336095,0.011571591,-0.049364317,0.047283603,59.5,131.5
-148.9060611,68.68643081,0.085960323,0.019165726,561.8029388,561.8888991,2018.789165,2020.012801,1.223635326,446.626894,0.019154666,0.000650995,-0.001111474,-0.000626381,58.5,453.5
-149.0839129,69.20962966,0.383730306,0.029625441,342.5457848,342.9295151,2018.789166,2020.102789,1.313623551,479.4725961,0.025356931,0.015319686,0.000241305,0.022116688,16,134.5
-149.0850919,69.21298001,0.390506364,0.011432613,334.5770334,334.9675398,2018.789166,2020.102789,1.313623559,479.4725989,0.010854837,0.003588474,-0.035692544,0.030650287,18.5,511
-149.1683845,69.45094914,0.192308774,0.011087455,190.875106,191.0674148,2018.789166,2020.102789,1.313623323,479.4725127,0.00881616,0.006723613,-0.003140271,0.001445398,82.5,472.5
-149.0850066,69.21274168,0.497196005,0.043165246,335.3606421,335.8578381,2018.789166,2020.350929,1.56176382,570.0437942,0.042227083,0.008950524,-0.032859407,0.033564278,20.5,495
